,Rating,Total_Reviews,SME_Data,Distance,Check_Web,Check_Telepon,Label
0,4.3,9871,1,0.03423749608722034,0,1,1
1,4.4,9288,2,0.20119648905472906,1,1,2
2,4.5,9222,2,0.24849853713780704,1,1,2
3,4.5,9163,2,0.8050858308621036,1,1,2
4,4.5,8830,0,0.14006944131700846,0,1,1
5,4.6,8724,2,0.33899219344063536,1,1,2
6,4.2,8651,1,0.7127271445695592,0,1,1
7,4.5,8573,2,0.5704625821997147,1,1,2
8,4.4,8330,1,0.22186600738801496,0,1,1
9,4.5,8210,2,1.2119994547386037,1,1,2
10,4.5,8192,2,1.7737033555457185,1,1,2
11,4.4,8038,1,0.33568588204339916,0,1,1
12,4.3,7923,0,7.98146842143753,0,0,0
13,4.6,7820,2,0.506664252472713,1,1,2
14,4.4,7738,2,0.0625450381531919,1,1,2
15,4.1,7534,1,1.020895940015348,0,1,1
16,4.5,7130,1,1.5677245041888865,0,1,1
17,4.5,7116,2,0.1944677546520718,1,1,2
18,4.3,7091,2,0.35412607980940064,1,1,2
19,4.5,7008,1,0.07720474694749771,0,1,1
20,4.5,7007,1,0.6618154879647653,0,1,1
21,4.5,6919,2,0.4457957043285914,1,1,2
22,4.3,6749,2,0.4717120527669756,1,1,2
23,4.2,6606,2,0.48607318825136087,1,1,2
24,4.6,6565,2,0.12190045297235638,1,1,2
25,4.6,6534,2,0.3760152794344896,1,1,2
26,4.6,6485,2,0.8955576975066831,1,1,2
27,4.7,6311,2,0.4952085806417487,1,1,2
28,4.4,6256,1,0.8710435655011199,0,1,1
29,4.5,6138,2,0.6149633787073587,1,1,2
30,4.6,6103,2,0.5067461388906599,1,1,2
31,4.6,5983,1,0.5351961278345196,0,1,1
32,4.4,5953,1,0.8011698543626623,0,1,1
33,4.5,5930,1,0.46681372199166915,0,1,1
34,4.7,5901,2,0.6665995662488082,1,1,2
35,4.4,5638,1,1.8605681099593978,1,0,2
36,4.6,5608,2,0.22970389392217494,1,1,2
37,4.5,5561,2,1.0169229131984556,1,1,2
38,4.4,5480,2,0.6915898178689696,1,1,2
39,4.6,5429,2,2.4719068677863496,1,1,2
40,4.5,5403,2,0.3242013390117692,1,1,2
41,4.6,5396,2,0.4423482064339685,1,1,2
42,4.3,5395,2,0.7873716364795942,1,1,2
43,4.5,5308,0,0.2529003185879429,0,0,0
44,3.8,5263,1,1.4759170211151045,0,1,1
45,4.7,5204,1,0.24952925634465428,0,1,1
46,4.5,5058,2,0.33960772229510383,1,1,2
47,4.6,4925,2,0.22890553661050891,1,1,2
48,4.6,4894,2,0.8401741461992205,1,1,2
49,4.3,4823,1,0.2608281731616073,0,1,1
50,4.6,4790,2,0.10058299657701364,1,1,2
51,4.2,4754,2,3.395185368479433,1,1,2
52,4.3,4729,2,0.3463148369852698,1,1,2
53,4.4,4726,0,0.11747756398737336,0,0,0
54,4.4,4718,2,0.4645166264784414,1,1,2
55,4.4,4713,2,1.6524226414107979,1,1,2
56,4.6,4665,2,0.3586834913555571,1,1,2
57,4.6,4657,2,0.5503877326763982,1,1,2
58,4.3,4632,1,0.5172280920188854,0,1,1
59,4.5,4628,0,0.4101093092177623,0,0,0
60,4.6,4614,0,0.8978967707763897,0,0,0
61,4.3,4515,2,1.2077286246873293,1,1,2
62,4.5,4498,2,0.5775207009311688,1,1,2
63,4.5,4470,1,0.08890318578914895,0,1,1
64,4.4,4434,2,1.0779326715839768,1,1,2
65,4.5,4422,1,0.37693172638394756,0,1,1
66,4.7,4382,1,0.4821022237388928,0,1,1
67,4.5,4313,2,0.8103978891817847,1,1,2
68,4.3,4289,2,0.3966256631722602,1,1,2
69,4.5,4245,0,0.38910545546364445,0,1,1
70,4.6,4226,1,1.037248229100681,0,1,1
71,4.5,4197,2,0.3491373819314485,1,1,2
72,4.6,4140,2,0.24112655070865804,1,1,2
73,4.7,4087,2,0.34384598979006825,1,1,2
